3	0.4771
4	0.6021
5	0.6990
6	0.7782
8	0.9031
10	1.0000
12	1.0792
13	1.1139
14	1.1461
15	1.1761
16	1.2041
19	1.2788
20	1.3010
21	1.3222
23	1.3617
24	1.3802
26	1.4150
29	1.4624
32	1.5051
33	1.5185
36	1.5563
38	1.5798
39	1.5911
40	1.6021
41	1.6128
42	1.6232
43	1.6335
44	1.6435
45	1.6532
47	1.6721
50	1.6990
51	1.7076
53	1.7243
54	1.7324
58	1.7634
59	1.7709
62	1.7924
63	1.7993
64	1.8062
65	1.8129
66	1.8195
67	1.8261
70	1.8451
71	1.8513
74	1.8692
75	1.8751
77	1.8865
78	1.8921
79	1.8976
84	1.9243
85	1.9294
86	1.9345
89	1.9494
90	1.9542
91	1.9590
92	1.9638
94	1.9731
96	1.9823
97	1.9868
98	1.9912
99	1.9956
